duration,pdays,previous,balance,campaign,job,poutcome,deposit
60,-1,0,3462,4,6,3,0
388,-1,0,3021,6,7,3,0
190,-1,0,128,1,0,3,0
35,-1,0,1274,6,3,3,0
202,-1,0,96,1,4,3,0
134,-1,0,845,1,4,3,0
64,-1,0,2413,3,1,3,0
408,-1,0,667,2,4,3,0
275,-1,0,305,6,4,3,0
61,-1,0,3462,3,5,3,0
181,-1,0,1744,1,4,3,0
475,-1,0,194,3,1,3,0
446,-1,0,1385,1,9,3,0
92,-1,0,113,6,1,3,0
643,-1,0,160,2,4,3,0
75,-1,0,1364,2,1,3,0
155,-1,0,830,6,4,3,0
643,-1,0,1293,1,1,3,0
569,-1,0,0,2,10,3,0
309,-1,0,205,1,1,3,0
226,-1,0,369,1,9,3,0
174,-1,0,24,2,4,3,0
208,-1,0,3462,1,4,0,0
643,-1,0,-110,1,1,3,0
245,-1,0,777,4,4,3,0
62,-1,0,212,1,4,3,0
411,-1,0,3462,3,4,0,0
186,-1,0,3279,1,0,3,0
5,-1,0,-248,1,7,3,0
128,-1,0,3462,5,9,3,0
85,-1,0,68,3,3,3,0
168,-1,0,452,2,4,3,0
105,-1,0,3241,1,7,3,0
298,-1,0,3462,1,9,3,0
83,-1,0,579,4,1,3,0
21,-1,0,3462,6,0,3,0
135,-1,0,-323,2,4,3,0
521,-1,0,3242,4,0,3,0
220,-1,0,-477,2,1,3,0
396,-1,0,33,1,0,3,0
273,-1,0,223,5,4,3,0
340,-1,0,355,1,4,3,0
12,-1,0,489,2,4,3,0
68,-1,0,2079,2,9,3,0
109,-1,0,98,1,3,3,0
126,-1,0,56,1,9,1,0
125,-1,0,1808,1,0,3,0
64,-1,0,396,2,4,0,0
30,-1,0,3462,6,9,3,0
168,-1,0,153,5,4,3,0
124,-1,0,55,3,4,3,0
245,-1,0,595,3,1,3,0
217,-1,0,347,2,0,3,0
256,-1,0,197,1,5,3,0
164,-1,0,1266,1,4,3,0
53,-1,0,118,1,7,3,0
283,-1,0,290,1,1,3,0
126,-1,0,611,2,6,3,0
325,-1,0,1164,1,2,3,0
59,-1,0,1545,1,1,0,0
352,-1,0,190,1,9,3,0
217,-1,0,3462,2,1,3,0
643,-1,0,1188,2,4,0,0
199,-1,0,3462,1,3,3,0
310,-1,0,185,2,4,3,0
206,-1,0,-198,1,0,3,0
643,-1,0,-491,3,0,3,0
53,-1,0,2,1,2,3,0
267,-1,0,116,4,7,0,0
144,-1,0,2,2,0,3,0
351,-1,0,944,2,9,3,0
301,-1,0,2616,1,10,3,0
77,-1,0,3262,6,6,3,0
52,-1,0,0,3,8,3,0
335,-1,0,1052,1,1,3,0
133,-1,0,443,2,5,3,0
150,-1,0,776,1,0,3,0
80,-1,0,3462,2,0,3,0
15,-1,0,199,6,9,3,0
61,-1,0,176,4,4,3,0
122,-1,0,2473,2,4,3,0
133,-1,0,3462,6,8,3,0
193,-1,0,0,1,3,3,0
309,-1,0,289,1,1,0,0
64,-1,0,3462,6,9,3,0
20,-1,0,0,1,7,3,0
19,-1,0,229,1,1,3,0
124,-1,0,349,4,0,3,0
27,-1,0,259,1,0,3,0
97,-1,0,223,1,5,3,0
141,-1,0,3462,1,9,3,0
155,-1,0,53,1,9,2,0
238,-1,0,442,1,1,0,0
107,-1,0,3462,2,1,3,0
53,-1,0,210,1,8,3,0
262,-1,0,1309,2,10,3,0
435,-1,0,35,3,1,3,0
300,-1,0,99,1,9,0,0
85,-1,0,1193,2,5,3,0
387,-1,0,680,4,1,3,0
352,-1,0,0,1,4,3,0
68,-1,0,0,6,9,3,0
20,-1,0,-100,6,1,3,0
521,-1,0,198,2,9,3,0
102,-1,0,724,3,4,2,0
204,-1,0,893,2,4,2,0
88,-1,0,592,6,9,1,0
53,-1,0,232,3,10,3,0
180,-1,0,513,1,0,3,0
92,-1,0,104,5,1,3,0
283,-1,0,136,1,0,3,0
115,-1,0,330,5,0,3,0
390,-1,0,419,1,7,3,0
155,-1,0,1657,1,1,3,0
104,-1,0,57,5,10,3,0
68,-1,0,34,1,9,3,0
81,-1,0,0,2,4,3,0
172,-1,0,3462,2,1,3,0
214,-1,0,439,3,1,3,0
257,-1,0,599,2,7,3,0
104,-1,0,112,4,9,3,0
201,-1,0,624,1,1,3,0
206,-1,0,0,1,9,3,0
126,-1,0,-142,1,2,3,0
138,-1,0,1113,1,6,3,0
184,-1,0,810,1,10,3,0
463,-1,0,0,2,4,3,0
185,-1,0,616,3,1,3,0
116,-1,0,600,2,4,0,0
106,-1,0,0,2,4,3,0
160,-1,0,-168,3,1,3,0
49,-1,0,3462,1,4,3,0
195,-1,0,1267,4,1,3,0
74,-1,0,170,1,0,3,0
144,-1,0,0,1,9,3,0
345,-1,0,603,1,9,3,0
256,-1,0,361,1,7,3,0
203,-1,0,236,1,9,3,0
123,-1,0,3462,6,9,3,0
523,-1,0,3462,3,4,3,0
199,-1,0,836,4,1,3,0
238,-1,0,668,1,1,3,0
150,-1,0,0,4,9,3,0
114,-1,0,3462,1,0,3,0
106,-1,0,3462,1,4,0,0
405,-1,0,2420,2,7,3,0
389,-1,0,56,1,2,3,0
181,-1,0,33,1,7,3,0
57,-1,0,0,1,4,3,0
192,-1,0,-21,1,3,3,0
307,-1,0,204,3,7,3,0
258,-1,0,183,1,1,2,0
404,-1,0,1256,1,9,3,0
17,-1,0,20,5,0,1,0
51,-1,0,1048,1,7,3,0
26,-1,0,13,6,4,3,0
250,-1,0,2351,2,3,3,0
16,-1,0,118,1,1,3,0
445,-1,0,-800,2,9,3,0
164,-1,0,-565,3,1,3,0
284,-1,0,182,4,3,3,0
79,-1,0,71,1,7,3,0
114,-1,0,3462,4,0,3,0
135,-1,0,145,2,9,3,0
156,-1,0,973,2,7,3,0
119,-1,0,0,2,9,3,0
128,-1,0,451,3,1,3,0
142,-1,0,650,2,2,3,0
427,-1,0,513,3,1,3,0
245,-1,0,80,2,7,3,0
152,-1,0,74,2,5,3,0
26,-1,0,401,1,9,3,0
81,-1,0,0,3,4,3,0
102,-1,0,3462,2,0,1,0
266,-1,0,322,4,0,3,0
240,-1,0,555,6,9,3,0
188,-1,0,395,3,1,3,0
180,-1,0,434,6,0,3,0
133,-1,0,2239,2,1,3,0
322,-1,0,-488,1,6,3,0
329,-1,0,-233,1,4,3,0
83,-1,0,0,3,1,0,0
129,-1,0,0,2,1,3,0
498,-1,0,-35,1,4,0,0
176,-1,0,158,6,1,3,0
243,-1,0,1306,1,1,0,0
93,-1,0,934,1,4,3,0
94,-1,0,0,2,5,3,0
18,-1,0,351,2,9,3,0
264,-1,0,-247,1,1,3,0
99,-1,0,136,1,1,3,0
27,-1,0,890,6,2,3,0
643,-1,0,737,1,7,3,0
160,-1,0,2097,1,1,3,0
195,-1,0,0,1,9,3,0
241,-1,0,91,5,7,3,0
455,-1,0,611,3,8,3,0
643,-1,0,340,1,0,3,0
189,-1,0,-224,1,7,3,0
245,-1,0,878,4,1,3,0
54,-1,0,571,3,5,3,0
353,-1,0,0,1,0,0,0
318,-1,0,272,1,1,0,0
150,-1,0,-290,1,9,0,0
20,-1,0,690,1,9,3,0
64,-1,0,1690,6,6,3,0
277,-1,0,0,1,4,3,0
635,-1,0,117,1,4,3,0
295,-1,0,2155,1,6,3,0
295,-1,0,147,4,6,3,0
191,-1,0,50,1,9,3,0
233,-1,0,11,1,1,3,0
319,-1,0,14,2,1,0,0
56,-1,0,356,2,7,0,0
23,-1,0,587,6,9,1,0
37,-1,0,499,6,9,3,0
94,-1,0,0,1,7,3,0
484,-1,0,257,6,0,3,0
87,-1,0,3462,6,9,3,0
118,-1,0,243,4,4,3,0
250,-1,0,720,1,5,2,0
51,-1,0,613,1,11,3,0
433,-1,0,3161,2,4,3,0
44,-1,0,694,1,1,3,0
214,-1,0,2240,1,1,3,0
71,-1,0,0,4,1,3,0
154,-1,0,994,2,1,2,0
264,-1,0,1143,1,1,0,0
177,-1,0,299,2,0,0,0
14,-1,0,672,6,0,3,0
176,-1,0,-13,4,1,3,0
399,-1,0,0,1,3,3,0
467,-1,0,3462,1,0,3,0
251,-1,0,3462,3,7,3,0
176,-1,0,3462,6,9,3,0
144,-1,0,-10,1,4,3,0
113,-1,0,0,4,5,3,0
229,-1,0,-1312,4,4,3,0
242,-1,0,3462,1,9,0,0
210,-1,0,3462,3,2,3,0
399,-1,0,1101,2,1,3,0
208,-1,0,0,2,1,3,0
35,-1,0,419,1,0,3,0
306,-1,0,-584,2,6,3,0
160,-1,0,328,2,1,0,0
55,-1,0,970,2,6,3,0
27,-1,0,3080,1,7,3,0
70,-1,0,93,3,3,3,0
182,-1,0,73,2,4,3,0
93,-1,0,209,1,7,3,0
99,-1,0,91,1,4,1,0
28,-1,0,454,6,10,3,0
60,-1,0,271,3,0,3,0
93,-1,0,3462,2,9,3,0
643,-1,0,-932,1,1,3,0
280,-1,0,0,2,4,3,0
9,-1,0,203,5,6,1,0
203,-1,0,183,6,2,3,0
56,-1,0,65,1,4,3,0
643,-1,0,3462,3,7,1,0
91,-1,0,560,3,7,3,0
104,-1,0,75,3,9,0,0
293,-1,0,290,1,9,3,0
643,-1,0,359,3,4,3,0
136,-1,0,1027,2,0,2,0
245,-1,0,1408,1,3,3,0
83,-1,0,733,4,7,3,0
164,-1,0,249,1,1,3,0
84,-1,0,900,2,7,3,0
88,-1,0,127,3,9,3,0
10,-1,0,387,3,7,3,0
148,-1,0,511,1,9,3,0
66,-1,0,937,1,1,3,0
330,-1,0,0,6,9,3,0
55,-1,0,3462,2,4,3,0
66,-1,0,1483,4,7,3,0
191,-1,0,246,1,1,0,0
72,-1,0,409,1,8,3,0
333,-1,0,3462,1,0,3,0
282,-1,0,3462,2,9,3,0
474,-1,0,1646,2,9,3,0
133,-1,0,250,1,9,3,0
215,-1,0,60,6,1,3,0
107,-1,0,420,1,5,3,0
197,-1,0,684,1,1,3,0
343,-1,0,980,2,0,0,0
72,-1,0,330,4,9,3,0
296,-1,0,835,1,1,3,0
136,-1,0,28,1,4,0,0
145,-1,0,1796,1,0,3,0
400,-1,0,-28,1,9,3,0
64,-1,0,-422,2,0,1,0
317,-1,0,1218,6,4,3,0
234,-1,0,2044,5,1,3,0
75,-1,0,387,1,0,3,0
52,-1,0,630,1,1,3,0
148,-1,0,1282,5,5,3,0
130,-1,0,24,6,4,3,0
300,-1,0,1389,3,1,0,0
29,-1,0,725,6,1,1,0
177,-1,0,2964,1,1,3,0
83,-1,0,2990,1,7,3,0
224,-1,0,1409,1,1,3,0
175,-1,0,360,3,6,0,0
340,-1,0,1011,2,2,3,0
68,-1,0,874,5,1,3,0
643,-1,0,388,1,1,3,0
95,-1,0,0,4,9,3,0
231,-1,0,510,2,7,3,0
312,-1,0,4,3,6,3,0
389,-1,0,-9,1,1,3,0
32,-1,0,94,1,7,3,0
172,-1,0,0,1,10,3,0
240,-1,0,0,1,11,3,0
377,-1,0,102,2,10,3,0
436,-1,0,3462,3,1,3,0
120,-1,0,36,3,1,3,0
123,-1,0,3462,1,4,3,0
250,-1,0,1092,1,5,0,0
291,-1,0,178,1,2,3,0
171,-1,0,4,4,2,3,0
240,-1,0,397,2,1,3,0
391,-1,0,3462,4,4,3,0
396,-1,0,-79,1,5,0,0
82,-1,0,441,6,4,3,0
78,-1,0,685,1,9,0,0
174,-1,0,2916,2,9,3,0
121,-1,0,1687,2,1,3,0
125,-1,0,3462,1,7,0,0
69,-1,0,326,2,0,3,0
164,-1,0,49,3,9,3,0
77,-1,0,629,1,9,3,0
73,-1,0,0,4,9,3,0
92,-1,0,292,2,3,3,0
241,-1,0,2065,2,7,3,0
267,-1,0,3462,1,1,3,0
104,-1,0,1352,2,1,3,0
467,-1,0,602,6,1,3,0
75,-1,0,42,1,0,3,0
139,-1,0,30,1,4,3,0
501,-1,0,515,2,4,3,0
158,-1,0,1622,2,4,3,0
251,-1,0,641,4,2,3,0
182,-1,0,3462,2,1,3,0
204,-1,0,208,2,0,3,0
86,-1,0,0,3,0,3,0
100,-1,0,76,2,6,3,0
75,-1,0,66,2,0,3,0
214,-1,0,0,2,1,3,0
172,-1,0,-617,1,1,3,0
221,-1,0,288,4,9,3,0
125,-1,0,737,1,8,3,0
186,-1,0,196,1,0,3,0
149,-1,0,778,2,0,3,0
354,-1,0,953,2,4,1,0
197,-1,0,0,1,4,3,0
367,-1,0,1437,6,9,3,0
273,-1,0,20,1,1,3,0
35,-1,0,350,1,1,3,0
316,-1,0,831,3,9,3,0
71,-1,0,71,1,9,3,0
203,-1,0,232,2,5,3,0
231,-1,0,-119,1,4,1,0
54,-1,0,362,2,9,3,0
643,-1,0,0,6,10,3,0
146,-1,0,3462,3,1,0,0
346,-1,0,3,2,0,3,0
197,-1,0,594,2,10,3,0
148,-1,0,271,2,1,0,0
8,-1,0,1313,6,1,3,0
90,-1,0,-718,4,7,3,0
208,-1,0,1211,3,1,3,0
345,-1,0,1996,1,9,3,0
326,-1,0,317,3,1,3,0
122,-1,0,560,2,6,3,0
45,-1,0,1517,1,11,3,0
105,-1,0,336,1,3,3,0
156,-1,0,522,1,1,3,0
195,-1,0,1089,5,2,3,0
99,-1,0,3462,6,4,3,0
143,-1,0,803,4,4,3,0
151,-1,0,2149,6,4,1,0
82,-1,0,148,6,4,3,0
297,-1,0,1287,2,1,3,0
169,-1,0,900,4,11,3,0
115,-1,0,2147,1,4,3,0
228,-1,0,-825,2,1,3,0
194,-1,0,172,2,9,3,0
151,-1,0,0,2,7,0,0
441,-1,0,1897,1,1,3,0
15,-1,0,262,4,1,1,0
354,-1,0,557,1,4,0,0
437,-1,0,1981,2,1,3,0
200,-1,0,237,3,3,3,0
173,-1,0,133,4,1,3,0
116,-1,0,-124,1,7,3,0
199,-1,0,236,3,4,3,0
520,-1,0,536,1,10,3,0
40,-1,0,83,2,4,3,0
405,-1,0,49,1,1,3,0
165,-1,0,70,3,4,3,0
154,-1,0,3462,3,6,0,0
25,-1,0,1820,3,1,3,0
107,-1,0,8,1,0,3,0
112,-1,0,5,2,1,3,0
493,-1,0,2067,6,1,3,0
240,-1,0,29,3,7,3,0
126,-1,0,100,1,0,3,0
593,-1,0,303,2,5,3,0
116,-1,0,2212,1,1,3,0
50,-1,0,9,6,1,3,0
176,-1,0,1473,3,4,3,0
122,-1,0,0,2,4,3,0
127,-1,0,1220,1,5,0,0
278,-1,0,2831,2,0,3,0
242,-1,0,2015,1,7,3,0
643,-1,0,1,1,7,3,0
131,-1,0,587,3,9,3,0
174,-1,0,178,2,4,3,0
49,-1,0,84,2,9,3,0
301,-1,0,3462,1,4,3,0
21,-1,0,733,3,10,3,0
183,-1,0,-421,5,9,3,0
171,-1,0,1327,4,0,3,0
157,-1,0,284,3,1,3,0
129,-1,0,0,3,1,3,0
110,-1,0,3462,2,4,3,0
10,-1,0,2576,6,9,3,0
643,-1,0,494,1,1,3,0
155,-1,0,765,3,0,3,0
328,-1,0,493,6,4,3,0
164,-1,0,213,2,6,3,0
70,-1,0,7,5,9,3,0
304,-1,0,1081,2,1,3,0
103,-1,0,2062,1,10,3,0
159,-1,0,1681,1,2,3,0
643,-1,0,191,5,6,3,0
226,-1,0,3462,2,1,3,0
509,-1,0,9,1,4,3,0
207,-1,0,709,1,4,3,0
144,-1,0,388,2,9,3,0
83,-1,0,190,2,1,3,0
287,-1,0,259,1,1,3,0
182,-1,0,673,1,9,3,0
152,-1,0,869,2,7,3,0
87,-1,0,726,2,2,3,0
87,-1,0,3462,1,0,0,0
199,-1,0,0,4,1,3,0
418,-1,0,2198,1,4,3,0
384,-1,0,457,5,0,3,0
274,-1,0,1191,1,8,3,0
83,-1,0,3462,1,7,3,0
35,-1,0,406,6,4,3,0
281,-1,0,1,2,1,3,0
130,-1,0,46,6,1,3,0
120,-1,0,0,1,2,3,0
472,-1,0,12,3,3,3,0
39,-1,0,3462,2,4,3,0
155,-1,0,313,2,7,3,0
64,-1,0,385,1,9,3,0
99,-1,0,600,6,5,3,0
11,-1,0,574,6,1,3,0
102,-1,0,0,6,9,3,0
523,-1,0,417,2,1,0,0
71,-1,0,440,4,4,3,0
93,-1,0,1094,6,9,3,0
198,-1,0,944,3,0,3,0
443,-1,0,630,2,5,3,0
41,-1,0,3462,2,7,0,0
210,-1,0,950,2,4,3,0
106,-1,0,138,1,4,0,0
5,-1,0,3462,1,4,3,0
226,-1,0,634,2,7,3,0
180,-1,0,2403,2,0,3,0
425,-1,0,1464,4,4,3,0
139,-1,0,1791,1,6,3,0
84,-1,0,3046,1,1,1,0
195,-1,0,2991,1,5,2,0
232,-1,0,298,1,1,3,0
210,-1,0,89,3,1,3,0
643,-1,0,2378,6,1,3,0
246,-1,0,746,3,3,3,0
490,-1,0,0,5,4,3,0
81,-1,0,64,6,10,3,0
111,-1,0,3462,2,1,0,0
22,-1,0,14,1,2,3,0
182,-1,0,834,2,4,3,0
43,-1,0,549,5,10,3,0
162,-1,0,505,1,7,3,0
395,-1,0,2478,1,7,3,0
196,-1,0,184,2,1,3,0
643,-1,0,3462,2,9,3,0
221,-1,0,533,6,4,3,0
139,-1,0,158,1,9,3,0
411,-1,0,434,1,7,3,0
190,-1,0,3462,4,9,3,0
86,-1,0,3462,1,4,3,0
365,-1,0,6,2,6,3,0
165,-1,0,46,1,1,3,0
299,-1,0,27,5,1,3,0
73,-1,0,3462,1,1,3,0
309,-1,0,164,2,1,3,0
224,-1,0,-581,1,10,0,0
205,-1,0,138,1,5,3,0
407,-1,0,5,2,1,3,0
156,-1,0,76,2,1,3,0
89,-1,0,16,2,10,3,0
124,-1,0,-158,3,9,3,0
211,-1,0,0,6,4,3,0
53,-1,0,1801,1,4,3,0
162,-1,0,3462,1,0,0,0
14,-1,0,904,6,4,3,0
313,-1,0,0,1,10,3,0
271,-1,0,726,1,9,3,0
326,-1,0,362,1,6,2,0
92,-1,0,42,1,9,3,0
639,-1,0,1573,3,0,0,0
556,-1,0,-295,1,11,3,0
46,-1,0,213,2,9,3,0
90,-1,0,1757,1,1,3,0
120,-1,0,-139,2,0,3,0
149,-1,0,40,2,9,3,0
145,-1,0,458,2,1,3,0
277,-1,0,275,2,9,0,0
197,-1,0,522,3,1,3,0
173,-1,0,-98,1,10,3,0
140,-1,0,83,4,6,3,0
76,-1,0,-191,3,9,3,0
638,-1,0,3462,1,9,2,0
84,-1,0,518,1,7,3,0
46,-1,0,571,3,9,3,0
290,-1,0,383,3,4,3,0
252,-1,0,1406,3,1,3,0
83,-1,0,109,2,1,3,0
266,-1,0,10,6,1,3,0
96,-1,0,168,1,0,3,0
95,-1,0,0,1,6,3,0
26,-1,0,900,1,1,0,0
138,-1,0,3462,4,1,3,0
104,-1,0,2749,1,0,0,0
73,-1,0,1804,3,4,3,0
81,-1,0,0,6,7,3,0
228,-1,0,3462,4,7,3,0
37,-1,0,3462,1,6,3,0
225,-1,0,0,1,1,3,0
68,-1,0,277,2,1,3,0
196,-1,0,1798,3,6,3,0
358,-1,0,354,3,9,3,0
180,-1,0,2,3,1,0,0
84,-1,0,287,3,9,3,0
167,-1,0,313,2,2,0,0
84,-1,0,-60,1,1,0,0
517,-1,0,6,1,9,3,0
42,-1,0,176,1,4,3,0
400,-1,0,-127,2,4,3,0
170,-1,0,275,1,1,3,0
179,-1,0,0,6,4,3,0
169,-1,0,-59,1,1,0,0
611,-1,0,1842,1,9,3,0
122,-1,0,0,6,2,3,0
183,-1,0,-94,4,4,3,0
547,-1,0,2481,6,9,3,0
57,-1,0,0,5,4,3,0
117,-1,0,241,2,1,3,0
176,-1,0,1109,4,3,3,0
91,-1,0,3462,1,5,3,0
46,-1,0,0,2,4,3,0
231,-1,0,1637,1,4,3,0
84,-1,0,0,1,0,3,0
378,-1,0,3462,1,5,3,0
73,-1,0,0,4,9,3,0
370,-1,0,3462,1,4,3,0
194,-1,0,943,1,2,0,0
118,-1,0,1807,2,0,3,0
123,-1,0,3462,1,0,3,0
189,-1,0,3462,1,4,3,0
157,-1,0,1491,2,5,3,0
400,-1,0,345,2,1,3,0
107,-1,0,3462,2,4,3,0
101,-1,0,1703,1,7,3,0
207,-1,0,-488,1,6,0,0
162,-1,0,23,3,0,3,0
34,-1,0,3037,3,2,3,0
5,-1,0,-42,1,1,3,0
522,-1,0,643,2,11,3,0
290,-1,0,576,2,1,3,0
44,-1,0,0,6,9,3,0
63,-1,0,3462,1,6,0,0
39,-1,0,1698,6,1,3,0
340,-1,0,891,2,0,0,0
567,-1,0,3462,1,7,3,0
208,-1,0,141,6,4,3,0
12,-1,0,2883,3,9,3,0
235,-1,0,-409,3,1,3,0
643,-1,0,2600,1,9,3,0
449,-1,0,120,4,4,3,0
225,-1,0,3462,1,0,2,0
99,-1,0,312,2,6,3,0
128,-1,0,888,1,5,3,0
9,-1,0,2443,6,9,3,0
282,-1,0,-155,1,4,3,0
213,-1,0,53,6,0,3,0
25,-1,0,1400,2,7,3,0
510,-1,0,262,6,9,3,0
50,-1,0,0,3,0,3,0
179,-1,0,83,2,9,3,0
71,-1,0,215,5,1,3,0
102,-1,0,953,2,10,0,0
222,-1,0,191,1,4,0,0
643,-1,0,-76,1,0,3,0
382,-1,0,681,6,6,3,0
143,-1,0,3462,2,4,3,0
291,-1,0,96,1,8,3,0
632,-1,0,3462,1,5,3,0
455,-1,0,628,2,1,3,0
160,-1,0,-426,6,6,3,0
11,-1,0,332,4,1,3,0
54,-1,0,814,1,7,3,0
399,-1,0,-239,2,9,3,0
101,-1,0,28,1,7,3,0
243,-1,0,0,2,4,3,0
15,-1,0,223,6,0,0,0
82,-1,0,3462,3,3,3,0
108,-1,0,396,2,4,3,0
307,-1,0,545,1,9,3,0
618,-1,0,773,1,4,3,0
630,-1,0,0,3,4,3,0
158,-1,0,980,1,0,3,0
328,-1,0,1307,6,2,3,0
155,-1,0,176,2,0,3,0
24,-1,0,-375,1,0,3,0
310,-1,0,10,2,4,3,0
251,-1,0,1692,1,4,3,0
71,-1,0,3462,1,11,3,0
548,-1,0,288,3,1,3,0
29,-1,0,773,1,7,3,0
135,-1,0,1446,1,4,3,0
255,-1,0,297,2,7,3,0
43,-1,0,2218,2,4,3,0
415,-1,0,1448,1,9,3,0
56,-1,0,0,2,7,3,0
76,-1,0,1187,2,4,0,0
227,-1,0,3462,1,10,3,0
107,-1,0,2141,3,9,3,0
29,-1,0,3462,3,4,3,0
19,-1,0,3462,6,4,3,0
120,-1,0,1678,1,1,3,0
131,-1,0,-612,2,4,3,0
97,-1,0,2953,2,1,3,0
14,-1,0,710,6,1,3,0
185,-1,0,-184,3,9,3,0
86,-1,0,0,1,0,0,0
157,-1,0,462,1,1,0,0
222,-1,0,1354,2,1,3,0
167,-1,0,347,2,1,3,0
50,-1,0,176,1,0,3,0
30,-1,0,209,2,7,3,0
439,-1,0,492,4,6,3,0
330,-1,0,101,1,5,3,0
249,-1,0,2123,3,4,3,0
399,-1,0,188,1,4,3,0
175,-1,0,1852,2,4,3,0
323,-1,0,102,1,2,3,0
88,-1,0,-45,4,0,3,0
117,-1,0,0,2,1,3,0
102,-1,0,0,2,10,3,0
289,-1,0,0,1,1,3,0
111,-1,0,-268,5,5,3,0
96,-1,0,3462,3,4,0,0
143,-1,0,1901,4,1,3,0
217,-1,0,3,1,4,3,0
181,-1,0,-42,6,0,3,0
377,-1,0,34,3,3,3,0
294,-1,0,258,3,9,3,0
224,-1,0,254,6,4,3,0
152,-1,0,390,1,2,3,0
122,-1,0,-228,2,4,3,0
238,-1,0,2827,3,1,3,0
306,-1,0,1245,1,1,3,0
99,-1,0,498,3,4,3,0
294,-1,0,266,2,0,3,0
103,-1,0,2032,6,4,3,0
277,-1,0,367,1,1,3,0
143,-1,0,-67,1,9,2,0
348,-1,0,341,2,1,3,0
643,-1,0,3462,1,2,3,0
203,-1,0,587,1,9,3,0
61,-1,0,1532,2,9,3,0
133,-1,0,2650,6,9,3,0
91,-1,0,2985,2,4,3,0
100,-1,0,1491,2,1,3,0
172,-1,0,-398,1,4,3,0
574,-1,0,18,6,0,3,0
239,-1,0,91,2,1,3,0
31,-1,0,429,3,9,1,0
